host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3,prop.gp.4,prop.gp.5,prop.gp.6,prop.gp.7,prop.gp.8
921,10200_to_10299,10249.5,10,10,2,4,0.6998625000000002,0.08943533333333333,0.815036,1.6218599999999999,0.7568707777777778,0.11067266666666667,0.6998625000000002,0.08943533333333333,0.815036,1.6218599999999999,0.7568707777777778,0.11067266666666667,0.6,0.4,0,0,0,0,0,0
974,10200_to_10299,10249.5,10,10,3,4,3.7332089,1.7402705,6.5572870000000005,12.033955000000002,6.048757311111111,3.0276628666666663,3.7332089,1.7402705,6.5572870000000005,12.033955000000002,6.048757311111111,3.0276628666666663,0.6,0.2,0.2,0,0,0,0,0
148,10800_to_10899,10849.5,10,10,2,3,2.4964209,1.8338708000000001,2.416332,6.750873,3.6943907333333335,2.1978572,2.4964209,1.8338708000000001,2.416332,6.750873,3.6943907333333335,2.1978572,0.5,0.5,0,0,0,0,0,0
154,10800_to_10899,10849.5,10,10,1,1,0.06586689999999999,0.06586689999999999,0.083497,0.198096,0.06735482222222222,0.06735482222222222,0.06586689999999999,0.06586689999999999,0.083497,0.198096,0.06735482222222222,0.06735482222222222,1,0,0,0,0,0,0,0
165,10800_to_10899,10849.5,10,10,1,1,0.12739280000000003,0.12739280000000003,0.081556,0.212304,0.1089075111111111,0.1089075111111111,0.12739280000000003,0.12739280000000003,0.081556,0.212304,0.1089075111111111,0.1089075111111111,1,0,0,0,0,0,0,0
199,10800_to_10899,10849.5,10,10,1,1,0.210147,0.210147,0.324072,0.49894000000000005,0.23357124444444444,0.23357124444444444,0.210147,0.210147,0.324072,0.49894000000000005,0.23357124444444444,0.23357124444444444,1,0,0,0,0,0,0,0
201,10800_to_10899,10849.5,10,10,1,1,0.18672529999999998,0.18672529999999998,0.186219,0.30739799999999995,0.15448744444444443,0.15448744444444443,0.18672529999999998,0.18672529999999998,0.186219,0.30739799999999995,0.15448744444444443,0.15448744444444443,1,0,0,0,0,0,0,0
225,10800_to_10899,10849.5,10,10,1,5,1.3379678,1.3379678,1.143139,2.560256,1.967030088888889,1.967030088888889,1.3379678,1.3379678,1.143139,2.560256,1.967030088888889,1.967030088888889,1,0,0,0,0,0,0,0
26,10800_to_10899,10849.5,10,10,2,3,0.5657204000000001,0.15255133333333334,0.7431280000000001,1.482666,0.8286724444444443,0.2804446666666667,0.5657204000000001,0.15255133333333334,0.7431280000000001,1.482666,0.8286724444444443,0.2804446666666667,0.6,0.4,0,0,0,0,0,0
27,10800_to_10899,10849.5,10,10,1,1,0.13019619999999998,0.13019619999999998,0.086547,0.282864,0.14169564444444444,0.14169564444444444,0.13019619999999998,0.13019619999999998,0.086547,0.282864,0.14169564444444444,0.14169564444444444,1,0,0,0,0,0,0,0
302,10800_to_10899,10849.5,10,10,1,2,0.9699963,0.9699963,0.732616,2.377776,1.3721148222222221,1.3721148222222221,0.9699963,0.9699963,0.732616,2.377776,1.3721148222222221,1.3721148222222221,1,0,0,0,0,0,0,0
331,10800_to_10899,10849.5,10,10,2,7,3.2968075999999997,1.1438533750000002,3.514332,6.152076000000001,2.7843784444444446,1.7729584642857144,3.2968075999999997,1.1438533750000002,3.514332,6.152076000000001,2.7843784444444446,1.7729584642857144,0.8,0.2,0,0,0,0,0,0
335,10800_to_10899,10849.5,10,10,1,1,0.5624573999999999,0.5624573999999999,0.419684,1.275673,0.7451889777777778,0.7451889777777778,0.5624573999999999,0.5624573999999999,0.419684,1.275673,0.7451889777777778,0.7451889777777778,1,0,0,0,0,0,0,0
338,10800_to_10899,10849.5,10,10,1,2,0.5185422,0.5185422,0.454928,1.298105,0.6995617777777777,0.6995617777777777,0.5185422,0.5185422,0.454928,1.298105,0.6995617777777777,0.6995617777777777,1,0,0,0,0,0,0,0
34,10800_to_10899,10849.5,10,10,3,6,0.8497981000000001,0.744573125,1.009978,2.481998,1.2593711333333333,1.0299021785714286,0.8497981000000001,0.744573125,1.009978,2.481998,1.2593711333333333,1.0299021785714286,0.8,0.1,0.1,0,0,0,0,0
377,10800_to_10899,10849.5,10,10,1,5,0.44146149999999995,0.44146149999999995,0.452768,0.793336,0.3833394,0.3833394,0.44146149999999995,0.44146149999999995,0.452768,0.793336,0.3833394,0.3833394,1,0,0,0,0,0,0,0
440,10800_to_10899,10849.5,10,10,1,8,0.1741274,0.1741274,0.104484,0.35702900000000004,0.1628164888888889,0.1628164888888889,0.1741274,0.1741274,0.104484,0.35702900000000004,0.1628164888888889,0.1628164888888889,1,0,0,0,0,0,0,0
456,10800_to_10899,10849.5,10,10,1,1,0.0649154,0.0649154,0.077764,0.135375,0.06122417777777778,0.06122417777777778,0.0649154,0.0649154,0.077764,0.135375,0.06122417777777778,0.06122417777777778,1,0,0,0,0,0,0,0
468,10800_to_10899,10849.5,10,10,2,2,0.4505504,0.1201277142857143,0.5073580000000001,0.713254,0.40176648888888894,0.1864542857142857,0.4505504,0.1201277142857143,0.5073580000000001,0.713254,0.40176648888888894,0.1864542857142857,0.7,0.3,0,0,0,0,0,0
471,10800_to_10899,10849.5,10,10,1,1,0.1612635,0.1612635,0.19807,0.555548,0.25835024444444443,0.25835024444444443,0.1612635,0.1612635,0.19807,0.555548,0.25835024444444443,0.25835024444444443,1,0,0,0,0,0,0,0
503,10800_to_10899,10849.5,10,10,2,6,1.7818261,0.6617901666666667,2.455051,3.715848000000001,1.9449834000000004,0.40868873333333333,1.7818261,0.6617901666666667,2.455051,3.715848000000001,1.9449834000000004,0.40868873333333333,0.6,0.4,0,0,0,0,0,0
511,10800_to_10899,10849.5,10,10,1,1,0.18549279999999996,0.18549279999999996,0.152817,0.297441,0.14709919999999999,0.14709919999999999,0.18549279999999996,0.18549279999999996,0.152817,0.297441,0.14709919999999999,0.14709919999999999,1,0,0,0,0,0,0,0
573,10800_to_10899,10849.5,10,10,1,2,0.31190290000000004,0.31190290000000004,0.40114900000000003,0.743753,0.3789958,0.3789958,0.31190290000000004,0.31190290000000004,0.40114900000000003,0.743753,0.3789958,0.3789958,1,0,0,0,0,0,0,0
580,10800_to_10899,10849.5,10,10,1,1,0.6266656999999999,0.6266656999999999,0.962787,2.0836799999999998,0.9800279777777777,0.9800279777777777,0.6266656999999999,0.6266656999999999,0.962787,2.0836799999999998,0.9800279777777777,0.9800279777777777,1,0,0,0,0,0,0,0
605,10800_to_10899,10849.5,10,10,1,3,0.6210783,0.6210783,0.679819,1.570385,0.8351644666666667,0.8351644666666667,0.6210783,0.6210783,0.679819,1.570385,0.8351644666666667,0.8351644666666667,1,0,0,0,0,0,0,0
62,10800_to_10899,10849.5,10,10,1,7,0.5069487,0.5069487,0.510146,0.998837,0.6525167777777777,0.6525167777777777,0.5069487,0.5069487,0.510146,0.998837,0.6525167777777777,0.6525167777777777,1,0,0,0,0,0,0,0
662,10800_to_10899,10849.5,10,10,2,9,1.7196288,1.55825,1.292374,4.7813609999999995,2.4482897777777777,2.2685792222222223,1.7196288,1.55825,1.292374,4.7813609999999995,2.4482897777777777,2.2685792222222223,0.9,0.1,0,0,0,0,0,0
670,10800_to_10899,10849.5,10,10,3,3,2.5098975,1.8780541250000002,3.3375900000000005,6.597863,3.847712866666667,2.8366179642857143,2.5098975,1.8780541250000002,3.3375900000000005,6.597863,3.847712866666667,2.8366179642857143,0.8,0.1,0.1,0,0,0,0,0
675,10800_to_10899,10849.5,10,10,1,6,0.14529450000000002,0.14529450000000002,0.182689,0.38648299999999997,0.18787184444444444,0.18787184444444444,0.14529450000000002,0.14529450000000002,0.182689,0.38648299999999997,0.18787184444444444,0.18787184444444444,1,0,0,0,0,0,0,0
754,10800_to_10899,10849.5,10,10,4,4,5.266959900000001,1.7995533333333336,9.148048000000003,13.422550000000001,5.464698066666667,2.728844,5.266959900000001,1.7995533333333336,9.148048000000003,13.422550000000001,5.464698066666667,2.728844,0.6,0.2,0.1,0.1,0,0,0,0
82,10800_to_10899,10849.5,10,10,1,3,0.2278696,0.2278696,0.164572,0.42526200000000003,0.1915251111111111,0.1915251111111111,0.2278696,0.2278696,0.164572,0.42526200000000003,0.1915251111111111,0.1915251111111111,1,0,0,0,0,0,0,0
852,10800_to_10899,10849.5,10,10,6,6,4.7287110000000006,0.5338496666666667,6.662422,14.243415,8.479628311111112,1.0676986666666666,4.7287110000000006,0.5338496666666667,6.662422,14.243415,8.479628311111112,1.0676986666666666,0.3,0.2,0.2,0.1,0.1,0.1,0,0
876,10800_to_10899,10849.5,10,10,1,1,0.14962209999999998,0.14962209999999998,0.278638,0.428839,0.16925357777777778,0.16925357777777778,0.14962209999999998,0.14962209999999998,0.278638,0.428839,0.16925357777777778,0.16925357777777778,1,0,0,0,0,0,0,0
921,10800_to_10899,10849.5,10,10,1,4,0.44345549999999995,0.44345549999999995,0.634789,1.140617,0.5252945111111111,0.5252945111111111,0.44345549999999995,0.44345549999999995,0.634789,1.140617,0.5252945111111111,0.5252945111111111,1,0,0,0,0,0,0,0
974,10800_to_10899,10849.5,10,10,2,3,3.5208339000000004,2.765017,3.392583,10.234815999999999,5.4654194,3.809617523809524,3.5208339000000004,2.765017,3.392583,10.234815999999999,5.4654194,3.809617523809524,0.7,0.3,0,0,0,0,0,0
148,1300_to_1399,1349.5,10,10,3,5,1.8240539000000004,0.9153384285714287,1.5396299999999998,5.075838999999999,2.3846482,1.1752268571428572,1.8240539000000004,0.9153384285714287,1.5396299999999998,5.075838999999999,2.3846482,1.1752268571428572,0.7,0.2,0.1,0,0,0,0,0
154,1300_to_1399,1349.5,10,10,1,1,0.0595179,0.0595179,0.07023,0.170055,0.07430784444444445,0.07430784444444445,0.0595179,0.0595179,0.07023,0.170055,0.07430784444444445,0.07430784444444445,1,0,0,0,0,0,0,0
165,1300_to_1399,1349.5,10,10,1,6,0.1469471,0.1469471,0.096013,0.23937799999999998,0.12539433333333333,0.12539433333333333,0.1469471,0.1469471,0.096013,0.23937799999999998,0.12539433333333333,0.12539433333333333,1,0,0,0,0,0,0,0
199,1300_to_1399,1349.5,10,10,1,6,0.20779,0.20779,0.357051,0.501672,0.2439742222222222,0.2439742222222222,0.20779,0.20779,0.357051,0.501672,0.2439742222222222,0.2439742222222222,1,0,0,0,0,0,0,0
201,1300_to_1399,1349.5,10,10,1,5,0.1925564,0.1925564,0.193194,0.375335,0.20716133333333334,0.20716133333333334,0.1925564,0.1925564,0.193194,0.375335,0.20716133333333334,0.20716133333333334,1,0,0,0,0,0,0,0
225,1300_to_1399,1349.5,10,10,4,7,1.503263,1.059025,1.507501,4.107438,2.1080525333333333,1.2908126666666666,1.503263,1.059025,1.507501,4.107438,2.1080525333333333,1.2908126666666666,0.7,0.1,0.1,0.1,0,0,0,0
26,1300_to_1399,1349.5,10,10,2,4,0.5193293999999999,0.41161099999999995,0.6343779999999999,1.5037379999999998,0.7288102222222222,0.45697407142857144,0.5193293999999999,0.41161099999999995,0.6343779999999999,1.5037379999999998,0.7288102222222222,0.45697407142857144,0.8,0.2,0,0,0,0,0,0
27,1300_to_1399,1349.5,10,10,1,3,0.21967699999999998,0.21967699999999998,0.205613,0.43213699999999994,0.20634426666666666,0.20634426666666666,0.21967699999999998,0.21967699999999998,0.205613,0.43213699999999994,0.20634426666666666,0.20634426666666666,1,0,0,0,0,0,0,0
302,1300_to_1399,1349.5,10,10,1,1,0.8884392000000002,0.8884392000000002,0.676558,2.164955,1.188212888888889,1.188212888888889,0.8884392000000002,0.8884392000000002,0.676558,2.164955,1.188212888888889,1.188212888888889,1,0,0,0,0,0,0,0
331,1300_to_1399,1349.5,10,10,2,5,1.1850068999999999,0.845762875,1.4781349999999998,3.1055899999999994,1.5866920666666666,1.1694163928571428,1.1850068999999999,0.845762875,1.4781349999999998,3.1055899999999994,1.5866920666666666,1.1694163928571428,0.8,0.2,0,0,0,0,0,0
335,1300_to_1399,1349.5,10,10,1,1,0.6598200999999999,0.6598200999999999,0.604629,1.5172449999999997,0.8552241555555555,0.8552241555555555,0.6598200999999999,0.6598200999999999,0.604629,1.5172449999999997,0.8552241555555555,0.8552241555555555,1,0,0,0,0,0,0,0
338,1300_to_1399,1349.5,10,10,1,1,0.6966334999999999,0.6966334999999999,0.7163930000000001,1.769285,0.9096806444444444,0.9096806444444444,0.6966334999999999,0.6966334999999999,0.7163930000000001,1.769285,0.9096806444444444,0.9096806444444444,1,0,0,0,0,0,0,0
34,1300_to_1399,1349.5,10,10,1,6,0.7075068000000001,0.7075068000000001,0.758419,1.7968169999999999,0.8915303555555556,0.8915303555555556,0.7075068000000001,0.7075068000000001,0.758419,1.7968169999999999,0.8915303555555556,0.8915303555555556,1,0,0,0,0,0,0,0
377,1300_to_1399,1349.5,10,10,1,4,0.5427495999999999,0.5427495999999999,0.647552,0.9431980000000001,0.4030257777777778,0.4030257777777778,0.5427495999999999,0.5427495999999999,0.647552,0.9431980000000001,0.4030257777777778,0.4030257777777778,1,0,0,0,0,0,0,0
