host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3
362,9000_to_9099,9049.5,10,10,1,1,0.6799897,0.6799897,0.93665,1.5069819999999996,0.8705358888888888,0.8705358888888888,0.6799897,0.6799897,0.93665,1.5069819999999996,0.8705358888888888,0.8705358888888888,1,0,0
370,9000_to_9099,9049.5,10,10,1,3,3.4416736,3.4416736,3.061211,6.449857000000001,4.954406844444445,4.954406844444445,3.4416736,3.4416736,3.061211,6.449857000000001,4.954406844444445,4.954406844444445,1,0,0
385,9000_to_9099,9049.5,10,10,1,1,0.44908230000000005,0.44908230000000005,0.319338,1.073027,0.6960868666666666,0.6960868666666666,0.44908230000000005,0.44908230000000005,0.319338,1.073027,0.6960868666666666,0.6960868666666666,1,0,0
404,9000_to_9099,9049.5,10,10,1,3,1.6033046000000002,1.6033046000000002,1.795789,3.1402069999999997,1.9400474222222222,1.9400474222222222,1.6033046000000002,1.6033046000000002,1.795789,3.1402069999999997,1.9400474222222222,1.9400474222222222,1,0,0
421,9000_to_9099,9049.5,10,10,1,1,0.6844986,0.6844986,0.747186,1.6904839999999999,1.1063964444444445,1.1063964444444445,0.6844986,0.6844986,0.747186,1.6904839999999999,1.1063964444444445,1.1063964444444445,1,0,0
441,9000_to_9099,9049.5,10,10,1,6,0.5814258000000001,0.5814258000000001,0.714305,1.134525,0.5597181777777778,0.5597181777777778,0.5814258000000001,0.5814258000000001,0.714305,1.134525,0.5597181777777778,0.5597181777777778,1,0,0
450,9000_to_9099,9049.5,10,10,1,1,0.08956889999999999,0.08956889999999999,0.102464,0.207918,0.1341304222222222,0.1341304222222222,0.08956889999999999,0.08956889999999999,0.102464,0.207918,0.1341304222222222,0.1341304222222222,1,0,0
495,9000_to_9099,9049.5,10,10,1,2,1.3280530999999998,1.3280530999999998,1.296338,2.652284,1.3757781111111111,1.3757781111111111,1.3280530999999998,1.3280530999999998,1.296338,2.652284,1.3757781111111111,1.3757781111111111,1,0,0
496,9000_to_9099,9049.5,10,10,1,1,3.4291128,3.4291128,2.412585,8.849021,5.5419214666666665,5.5419214666666665,3.4291128,3.4291128,2.412585,8.849021,5.5419214666666665,5.5419214666666665,1,0,0
5,9000_to_9099,9049.5,10,10,1,4,2.3970215,2.3970215,2.474513,5.942007,4.286503177777778,4.286503177777778,2.3970215,2.3970215,2.474513,5.942007,4.286503177777778,4.286503177777778,1,0,0
507,9000_to_9099,9049.5,10,10,1,5,1.7729612,1.7729612,2.259658,4.121017,2.6320943555555556,2.6320943555555556,1.7729612,1.7729612,2.259658,4.121017,2.6320943555555556,2.6320943555555556,1,0,0
522,9000_to_9099,9049.5,10,10,1,1,1.1099307,1.1099307,1.5142570000000002,2.1105690000000004,0.881326288888889,0.881326288888889,1.1099307,1.1099307,1.5142570000000002,2.1105690000000004,0.881326288888889,0.881326288888889,1,0,0
53,9000_to_9099,9049.5,10,10,1,5,0.1359138,0.1359138,0.080647,0.314101,0.22479453333333332,0.22479453333333332,0.1359138,0.1359138,0.080647,0.314101,0.22479453333333332,0.22479453333333332,1,0,0
