dataset,phylo_prec,phylo_rec,phylo_f1,tnet_prec,tnet_rec,tnet_f1
SEIR015_sl1000_mr05_nv10_3,0.86,0.875,0.867,0.862,0.893,0.877
SEIR015_sl1000_mr05_nv10_4,0.875,0.875,0.875,0.725,0.906,0.806
SEIR015_sl1000_mr05_nv10_5,0.818,0.818,0.818,0.833,0.909,0.87
SEIR015_sl1000_mr05_nv10_6,1,0.967,0.983,0.767,0.767,0.767
SEIR015_sl1000_mr05_nv10_7,0.692,0.692,0.692,0.769,0.769,0.769
SEIR015_sl1000_mr05_nv10_8,0.879,0.806,0.841,0.714,0.833,0.769
SEIR015_sl1000_mr05_nv10_9,0.857,0.8,0.828,0.684,0.867,0.765
SEIR015_sl250_mr025_nv10_1,0.833,0.882,0.857,0.842,0.941,0.889
SEIR015_sl250_mr025_nv10_10,0.65,0.661,0.655,0.653,0.542,0.593
SEIR015_sl250_mr025_nv10_11,0.556,0.588,0.571,0.514,0.559,0.535
SEIR015_sl250_mr025_nv10_12,0.647,0.767,0.702,0.64,0.744,0.688
SEIR015_sl250_mr025_nv10_13,0.786,0.688,0.733,0.923,0.75,0.828
SEIR015_sl250_mr025_nv10_14,0.655,0.76,0.704,0.68,0.68,0.68
SEIR015_sl250_mr025_nv10_15,0.704,0.776,0.738,0.725,0.755,0.74
SEIR015_sl250_mr025_nv10_16,0.484,0.556,0.517,0.481,0.481,0.481
SEIR015_sl250_mr025_nv10_17,0.5,0.333,0.4,0.5,0.333,0.4
SEIR015_sl250_mr025_nv10_18,0.5,0.636,0.56,0.538,0.636,0.583
SEIR015_sl250_mr025_nv10_19,0.515,0.459,0.486,0.567,0.459,0.507
SEIR015_sl250_mr025_nv10_2,0.429,0.409,0.419,0.409,0.409,0.409
SEIR015_sl250_mr025_nv10_20,0.73,0.818,0.771,0.73,0.818,0.771
SEIR015_sl250_mr025_nv10_3,0.462,0.4,0.429,0.429,0.4,0.414
SEIR015_sl250_mr025_nv10_4,0.75,0.84,0.792,0.75,0.84,0.792
SEIR015_sl250_mr025_nv10_5,0.778,0.875,0.824,0.7,0.875,0.778
SEIR015_sl250_mr025_nv10_6,0.545,0.686,0.608,0.548,0.657,0.597
SEIR015_sl250_mr025_nv10_7,0.333,0.25,0.286,0.333,0.375,0.353
SEIR015_sl250_mr025_nv10_8,0.821,0.852,0.836,0.778,0.778,0.778
SEIR015_sl250_mr025_nv10_9,0.722,0.867,0.788,0.684,0.867,0.765
SEIR015_sl500_mr025_nv10_1,0.75,0.9,0.818,0.6,0.9,0.72
SEIR015_sl500_mr025_nv10_10,0.907,0.907,0.907,0.816,0.93,0.87
SEIR015_sl500_mr025_nv10_11,0.857,0.75,0.8,0.778,0.875,0.824
