host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3,prop.gp.4,prop.gp.5,prop.gp.6,prop.gp.7,prop.gp.8,prop.gp.9
73,2700_to_2799,2749.5,10,10,1,4,2.5454121,2.5454121,3.246844,7.7726,3.7689526888888887,3.7689526888888887,2.5454121,2.5454121,3.246844,7.7726,3.7689526888888887,3.7689526888888887,1,0,0,0,0,0,0,0,0
801,2700_to_2799,2749.5,10,10,1,1,2.1074162000000003,2.1074162000000003,3.392142,7.137589,3.0213416444444445,3.0213416444444445,2.1074162000000003,2.1074162000000003,3.392142,7.137589,3.0213416444444445,3.0213416444444445,1,0,0,0,0,0,0,0,0
140,2800_to_2899,2849.5,10,10,1,1,2.095056,2.095056,3.442063,6.6440529999999995,2.1950845777777777,2.1950845777777777,2.095056,2.095056,3.442063,6.6440529999999995,2.1950845777777777,2.1950845777777777,1,0,0,0,0,0,0,0,0
149,2800_to_2899,2849.5,10,10,1,1,0.059098399999999995,0.059098399999999995,0.0773,0.162013,0.07492084444444444,0.07492084444444444,0.059098399999999995,0.059098399999999995,0.0773,0.162013,0.07492084444444444,0.07492084444444444,1,0,0,0,0,0,0,0,0
15,2800_to_2899,2849.5,10,10,1,5,2.7671112,2.7671112,4.6827,8.692361,3.9591149333333333,3.9591149333333333,2.7671112,2.7671112,4.6827,8.692361,3.9591149333333333,3.9591149333333333,1,0,0,0,0,0,0,0,0
16,2800_to_2899,2849.5,10,10,2,6,4.982906799999999,4.822867222222222,5.671821,12.536089,8.129972533333333,7.7138191111111105,4.982906799999999,4.822867222222222,5.671821,12.536089,8.129972533333333,7.7138191111111105,0.9,0.1,0,0,0,0,0,0,0
185,2800_to_2899,2849.5,10,10,1,6,1.4247038,1.4247038,1.07694,2.504934,1.1964357333333333,1.1964357333333333,1.4247038,1.4247038,1.07694,2.504934,1.1964357333333333,1.1964357333333333,1,0,0,0,0,0,0,0,0
243,2800_to_2899,2849.5,10,10,2,2,2.0915790000000003,1.4646434444444445,2.9679030000000006,5.151233,2.3627816,1.8453403888888888,2.0915790000000003,1.4646434444444445,2.9679030000000006,5.151233,2.3627816,1.8453403888888888,0.9,0.1,0,0,0,0,0,0,0
375,2800_to_2899,2849.5,10,10,4,4,7.328849500000001,4.241842166666666,7.796457,19.419939,10.914989177777777,6.750885666666666,7.328849500000001,4.241842166666666,7.796457,19.419939,10.914989177777777,6.750885666666666,0.6,0.2,0.1,0.1,0,0,0,0,0
387,2800_to_2899,2849.5,10,10,1,1,2.7139292999999998,2.7139292999999998,2.84734,4.377452,2.116892422222222,2.116892422222222,2.7139292999999998,2.7139292999999998,2.84734,4.377452,2.116892422222222,2.116892422222222,1,0,0,0,0,0,0,0,0
405,2800_to_2899,2849.5,10,10,3,8,3.8447533000000007,1.7058941250000001,9.988196,14.213428,5.473627222222222,2.8988975357142857,3.8447533000000007,1.7058941250000001,9.988196,14.213428,5.473627222222222,2.8988975357142857,0.8,0.1,0.1,0,0,0,0,0,0
407,2800_to_2899,2849.5,10,10,2,3,0.8725422,0.4529875555555555,1.094342,1.9478780000000002,0.8795813333333333,0.7126442777777777,0.8725422,0.4529875555555555,1.094342,1.9478780000000002,0.8795813333333333,0.7126442777777777,0.9,0.1,0,0,0,0,0,0,0
525,2800_to_2899,2849.5,10,10,3,4,3.6194938999999993,2.750754166666667,5.957192,10.246626,5.900471444444444,4.2277842,3.6194938999999993,2.750754166666667,5.957192,10.246626,5.900471444444444,4.2277842,0.6,0.3,0.1,0,0,0,0,0,0
532,2800_to_2899,2849.5,10,10,1,9,0.498634,0.498634,0.49395999999999995,1.305145,0.7204255111111111,0.7204255111111111,0.498634,0.498634,0.49395999999999995,1.305145,0.7204255111111111,0.7204255111111111,1,0,0,0,0,0,0,0,0
73,2800_to_2899,2849.5,10,10,1,3,2.0752431000000007,2.0752431000000007,1.66623,4.61649,2.8488329111111113,2.8488329111111113,2.0752431000000007,2.0752431000000007,1.66623,4.61649,2.8488329111111113,2.8488329111111113,1,0,0,0,0,0,0,0,0
801,2800_to_2899,2849.5,10,10,1,1,3.1256334999999997,3.1256334999999997,2.769785,7.139797999999999,3.2907182,3.2907182,3.1256334999999997,3.1256334999999997,2.769785,7.139797999999999,3.2907182,3.2907182,1,0,0,0,0,0,0,0,0
140,2900_to_2999,2949.5,10,10,1,1,1.911957,1.911957,3.371644,7.451558,2.3146383555555556,2.3146383555555556,1.911957,1.911957,3.371644,7.451558,2.3146383555555556,2.3146383555555556,1,0,0,0,0,0,0,0,0
149,2900_to_2999,2949.5,10,10,1,1,0.0965245,0.0965245,0.132408,0.270728,0.1479012222222222,0.1479012222222222,0.0965245,0.0965245,0.132408,0.270728,0.1479012222222222,0.1479012222222222,1,0,0,0,0,0,0,0,0
15,2900_to_2999,2949.5,10,10,2,6,2.3332784999999996,2.1179296666666665,4.271005,7.567297,3.9284318000000003,3.313271666666667,2.3332784999999996,2.1179296666666665,4.271005,7.567297,3.9284318000000003,3.313271666666667,0.9,0.1,0,0,0,0,0,0,0
16,2900_to_2999,2949.5,10,10,4,9,5.0238224,3.270581,4.6125869999999995,13.073495000000001,8.315196666666667,6.333358199999999,5.0238224,3.270581,4.6125869999999995,13.073495000000001,8.315196666666667,6.333358199999999,0.5,0.3,0.1,0.1,0,0,0,0,0
185,2900_to_2999,2949.5,10,10,1,1,2.2632651000000004,2.2632651000000004,1.702785,4.193379999999999,1.480151,1.480151,2.2632651000000004,2.2632651000000004,1.702785,4.193379999999999,1.480151,1.480151,1,0,0,0,0,0,0,0,0
243,2900_to_2999,2949.5,10,10,1,2,2.2330081,2.2330081,1.857605,4.027704,2.1990998444444445,2.1990998444444445,2.2330081,2.2330081,1.857605,4.027704,2.1990998444444445,2.1990998444444445,1,0,0,0,0,0,0,0,0
375,2900_to_2999,2949.5,10,10,3,4,7.0834198,3.73895725,7.239590000000001,17.018346,11.634902799999999,5.763567833333334,7.0834198,3.73895725,7.239590000000001,17.018346,11.634902799999999,5.763567833333334,0.4,0.3,0.3,0,0,0,0,0,0
387,2900_to_2999,2949.5,10,10,1,1,1.8178034999999997,1.8178034999999997,1.474404,3.399581,1.6700256222222223,1.6700256222222223,1.8178034999999997,1.8178034999999997,1.474404,3.399581,1.6700256222222223,1.6700256222222223,1,0,0,0,0,0,0,0,0
