dataset,phylo_prec,phylo_rec,phylo_f1,tnet_prec,tnet_rec,tnet_f1
SEIR015_sl1000_mr05_nv10_19,1.0,0.531,0.694,0.913,0.656,0.764
SEIR015_sl1000_mr05_nv10_2,0.95,0.905,0.927,0.824,0.333,0.475
SEIR015_sl1000_mr05_nv10_20,0.9,0.439,0.59,0.636,0.171,0.269
SEIR015_sl1000_mr05_nv10_3,1.0,0.696,0.821,1.0,0.625,0.769
SEIR015_sl1000_mr05_nv10_4,1.0,0.594,0.745,0.882,0.469,0.612
SEIR015_sl1000_mr05_nv10_5,0.857,0.545,0.667,0.833,0.455,0.588
SEIR015_sl1000_mr05_nv10_6,1.0,0.833,0.909,1.0,0.533,0.696
SEIR015_sl1000_mr05_nv10_7,1.0,0.231,0.375,0.889,0.615,0.727
SEIR015_sl1000_mr05_nv10_8,1.0,0.833,0.909,0.88,0.611,0.721
SEIR015_sl1000_mr05_nv10_9,1.0,0.533,0.696,0.778,0.467,0.583
SEIR015_sl250_mr025_nv10_1,1.0,0.176,0.3,0.857,0.706,0.774
SEIR015_sl250_mr025_nv10_10,0.909,0.169,0.286,0.842,0.271,0.41
SEIR015_sl250_mr025_nv10_11,0.562,0.265,0.36,0.636,0.412,0.5
SEIR015_sl250_mr025_nv10_12,0.875,0.163,0.275,0.667,0.372,0.478
SEIR015_sl250_mr025_nv10_13,0.909,0.625,0.741,1.0,0.562,0.72
SEIR015_sl250_mr025_nv10_14,1.0,0.08,0.148,0.667,0.4,0.5
SEIR015_sl250_mr025_nv10_15,0.824,0.286,0.424,0.828,0.49,0.615
SEIR015_sl250_mr025_nv10_16,0,0,0,0.583,0.259,0.359
SEIR015_sl250_mr025_nv10_17,0,0,0,0.5,0.167,0.25
SEIR015_sl250_mr025_nv10_18,0,0,0,0.5,0.182,0.267
SEIR015_sl250_mr025_nv10_19,0.727,0.216,0.333,0.529,0.243,0.333
SEIR015_sl250_mr025_nv10_2,0.667,0.091,0.16,0.375,0.136,0.2
SEIR015_sl250_mr025_nv10_20,0.9,0.273,0.419,0.68,0.515,0.586
SEIR015_sl250_mr025_nv10_3,0.25,0.067,0.105,0.444,0.267,0.333
SEIR015_sl250_mr025_nv10_4,0.6,0.24,0.343,0.909,0.8,0.851
SEIR015_sl250_mr025_nv10_5,1.0,0.25,0.4,0.667,0.5,0.571
SEIR015_sl250_mr025_nv10_6,0.929,0.371,0.531,0.652,0.429,0.517
SEIR015_sl250_mr025_nv10_7,1.0,0.25,0.4,0.5,0.25,0.333
SEIR015_sl250_mr025_nv10_8,0.895,0.63,0.739,0.875,0.519,0.651
SEIR015_sl250_mr025_nv10_9,0.75,0.2,0.316,0.857,0.4,0.545
SEIR015_sl500_mr025_nv10_1,1.0,0.6,0.75,1.0,0.5,0.667
SEIR015_sl500_mr025_nv10_10,0.912,0.721,0.805,0.964,0.628,0.761
SEIR015_sl500_mr025_nv10_11,0,0,0,1.0,0.5,0.667
SEIR015_sl500_mr025_nv10_12,1.0,0.566,0.723,0.926,0.472,0.625
SEIR015_sl500_mr025_nv10_13,0.933,0.5,0.651,0.684,0.464,0.553
SEIR015_sl500_mr025_nv10_14,1.0,0.556,0.714,1.0,0.889,0.941
SEIR015_sl500_mr025_nv10_15,0.911,0.707,0.796,0.944,0.586,0.723
SEIR015_sl500_mr025_nv10_16,1.0,0.333,0.5,0.667,0.333,0.444
SEIR015_sl500_mr025_nv10_17,1.0,0.5,0.667,0.9,0.643,0.75
SEIR015_sl500_mr025_nv10_18,0.842,0.615,0.711,0.727,0.308,0.432
SEIR015_sl500_mr025_nv10_19,1.0,0.4,0.571,1.0,0.8,0.889
SEIR015_sl500_mr025_nv10_2,1.0,0.75,0.857,1.0,0.5,0.667
SEIR015_sl500_mr025_nv10_20,0.944,0.531,0.68,0.853,0.453,0.592
SEIR015_sl500_mr025_nv10_3,0.952,0.541,0.69,0.923,0.324,0.48
SEIR015_sl500_mr025_nv10_4,1.0,0.439,0.61,0.885,0.561,0.687
SEIR015_sl500_mr025_nv10_5,0.9,0.643,0.75,1.0,0.571,0.727
SEIR015_sl500_mr025_nv10_6,0.778,0.368,0.5,0.786,0.579,0.667
SEIR015_sl500_mr025_nv10_7,0.939,0.5,0.653,0.828,0.387,0.527
SEIR015_sl500_mr025_nv10_8,0.968,0.448,0.612,0.939,0.463,0.62
SEIR015_sl500_mr025_nv10_9,1.0,0.273,0.429,0.769,0.909,0.833
SEIR01_sl1000_mr0125_nv10_1,1.0,0.722,0.839,0.818,0.5,0.621
SEIR01_sl1000_mr0125_nv10_10,0.961,0.907,0.933,0.974,0.685,0.804
SEIR01_sl1000_mr0125_nv10_11,1.0,0.923,0.96,1.0,0.538,0.7
SEIR01_sl1000_mr0125_nv10_12,1.0,0.2,0.333,1.0,0.2,0.333
SEIR01_sl1000_mr0125_nv10_13,1.0,0.8,0.889,1.0,1.0,1.0
SEIR01_sl1000_mr0125_nv10_14,0.963,0.867,0.912,0.957,0.733,0.83
SEIR01_sl1000_mr0125_nv10_15,1.0,0.875,0.933,1.0,0.667,0.8
SEIR01_sl1000_mr0125_nv10_16,1.0,0.571,0.727,1.0,0.429,0.6
SEIR01_sl1000_mr0125_nv10_17,1.0,0.667,0.8,1.0,1.0,1.0
SEIR01_sl1000_mr0125_nv10_18,0.949,0.822,0.881,0.973,0.8,0.878
SEIR01_sl1000_mr0125_nv10_19,1.0,0.767,0.868,1.0,0.767,0.868
SEIR01_sl1000_mr0125_nv10_2,1.0,0.808,0.894,1.0,0.731,0.844
